Nom Produit, Référence, Catégorie, Quantité, Prix Unitaire
Ordinateur Portable, ORD-001, Électronique, 15, 999.99
Smartphone, TEL-001, Électronique, 25, 599.99
Tablette, TAB-001, Électronique, 10, 349.99
Smart TV 55", TV-001, Électronique, 8, 799.99
Enceinte Bluetooth, AUD-001, Électronique, 20, 89.99
Casque Audio, AUD-002, Électronique, 30, 149.99
Console de Jeu, GAM-001, Électronique, 12, 499.99
Souris Sans Fil, ACC-001, Informatique, 40, 29.99
Clavier Mécanique, ACC-002, Informatique, 25, 79.99
Écran 27", ECR-001, Informatique, 15, 249.99
Disque Dur Externe, STO-001, Informatique, 30, 89.99
Clé USB 64GB, STO-002, Informatique, 50, 19.99
Carte Graphique, COM-001, Informatique, 10, 399.99
Processeur, COM-002, Informatique, 8, 299.99
Chargeur USB-C, CHA-001, Accessoires, 35, 19.99
Coque Smartphone, COQ-001, Accessoires, 60, 14.99
Support Téléphone, SUP-001, Accessoires, 45, 9.99
Adaptateur HDMI, ADA-001, Accessoires, 30, 12.99
Batterie Externe, BAT-001, Accessoires, 25, 39.99
Carte SD 128GB, STO-003, Accessoires, 40, 29.99
Cahier A4, PAP-001, Bureautique, 100, 4.99
Stylo Pack 10, STY-001, Bureautique, 80, 8.99
Agrafeuse, BUR-001, Bureautique, 25, 12.99
Papier Imprimante, PAP-002, Bureautique, 50, 6.99
Classeur, BUR-002, Bureautique, 40, 7.99
Ampoule Connectée, SMH-001, Maison Connectée, 30, 24.99
Caméra Surveillance, SMH-002, Maison Connectée, 15, 89.99
Thermostat Intelligent, SMH-003, Maison Connectée, 10, 129.99
Détecteur de Fumée, SMH-004, Maison Connectée, 20, 49.99
Serrure Connectée, SMH-005, Maison Connectée, 8, 159.99
